Datetime,Water Level (m)
2023-04-01 18:00:00,-0.004720285
2023-04-01 19:00:00,-0.2563861
2023-04-01 20:00:00,-0.4545303
2023-04-01 21:00:00,-0.60705435
2023-04-01 22:00:00,-0.7197682
2023-04-01 23:00:00,-0.7164664
2023-04-02 00:00:00,-0.4110467
2023-04-02 01:00:00,-0.091928504
2023-04-02 02:00:00,0.17960414
2023-04-02 03:00:00,0.31455103
2023-04-02 04:00:00,0.3120721
2023-04-02 05:00:00,0.15868138
2023-04-02 06:00:00,-0.09293257
2023-04-02 07:00:00,-0.3321587
2023-04-02 08:00:00,-0.5435094
2023-04-02 09:00:00,-0.68467623
2023-04-02 10:00:00,-0.76013535
2023-04-02 11:00:00,-0.64010954
2023-04-02 12:00:00,-0.2802255
2023-04-02 13:00:00,0.05009431
2023-04-02 14:00:00,0.3672785
2023-04-02 15:00:00,0.539925
2023-04-02 16:00:00,0.5826902
2023-04-02 17:00:00,0.46527612
2023-04-02 18:00:00,0.19574566
2023-04-02 19:00:00,-0.08539099
2023-04-02 20:00:00,-0.3411521
2023-04-02 21:00:00,-0.54254466
2023-04-02 22:00:00,-0.7039451
2023-04-02 23:00:00,-0.8047809
2023-04-03 00:00:00,-0.6898725
2023-04-03 01:00:00,-0.21330787
2023-04-03 02:00:00,0.12579939
2023-04-03 03:00:00,0.3993058
2023-04-03 04:00:00,0.48908266
2023-04-03 05:00:00,0.41803876
2023-04-03 06:00:00,0.1719054
2023-04-03 07:00:00,-0.10676747
2023-04-03 08:00:00,-0.36853752
2023-04-03 09:00:00,-0.5734071
2023-04-03 10:00:00,-0.7236333
2023-04-03 11:00:00,-0.8039929
2023-04-03 12:00:00,-0.61121166
2023-04-03 13:00:00,-0.1440903
2023-04-03 14:00:00,0.26144844
2023-04-03 15:00:00,0.59953046
2023-04-03 16:00:00,0.73364466
2023-04-03 17:00:00,0.69647986
2023-04-03 18:00:00,0.4469377
2023-04-03 19:00:00,0.11385836
2023-04-03 20:00:00,-0.19692332
2023-04-03 21:00:00,-0.44212377
2023-04-03 22:00:00,-0.6357842
2023-04-03 23:00:00,-0.791661
2023-04-04 00:00:00,-0.8330163
2023-04-04 01:00:00,-0.4134707
2023-04-04 02:00:00,0.021793175
2023-04-04 03:00:00,0.41945148
2023-04-04 04:00:00,0.6575471
2023-04-04 05:00:00,0.6880721
2023-04-04 06:00:00,0.5038739
2023-04-04 07:00:00,0.15521218
2023-04-04 08:00:00,-0.15682292
2023-04-04 09:00:00,-0.43200734
2023-04-04 10:00:00,-0.6248176
2023-04-04 11:00:00,-0.7733706
2023-04-04 12:00:00,-0.82180494
2023-04-04 13:00:00,-0.4039905
2023-04-04 14:00:00,0.042123023
2023-04-04 15:00:00,0.4997028
2023-04-04 16:00:00,0.795338
2023-04-04 17:00:00,0.86676973
2023-04-04 18:00:00,0.7167939
2023-04-04 19:00:00,0.35065243
2023-04-04 20:00:00,0.019300716
2023-04-04 21:00:00,-0.2783781
2023-04-04 22:00:00,-0.50393003
2023-04-04 23:00:00,-0.6867057
2023-04-05 00:00:00,-0.8196049
2023-04-05 01:00:00,-0.6999985
2023-04-05 02:00:00,-0.12670021
2023-04-05 03:00:00,0.30149856
2023-04-05 04:00:00,0.6625993
2023-04-05 05:00:00,0.78291714
2023-04-05 06:00:00,0.6880688
2023-04-05 07:00:00,0.3655274
2023-04-05 08:00:00,0.029747264
2023-04-05 09:00:00,-0.27265558
2023-04-05 10:00:00,-0.50871474
2023-04-05 11:00:00,-0.69347954
2023-04-05 12:00:00,-0.8361367
2023-04-05 13:00:00,-0.74776584
2023-04-05 14:00:00,-0.12711495
